Bike_count,Temp,Humidity,Dew_pt_temp,Radiation,Rain,Snow
449,1.7,23,-17.2,1.11,0.0,0.0
479,4.3,41,-7.8,1.09,0.0,0.0
333,5.8,85,3.4,0.43,0.0,0.0
393,-0.3,38,-12.9,1.11,0.0,0.0
321,-2.3,25,-19.7,0.0,0.0,0.0
405,2.4,52,-6.4,1.08,0.0,0.0
431,3.7,65,-2.2,0.98,0.0,0.3
355,-2.0,30,-17.3,1.14,0.0,0.0
427,2.4,40,-9.8,1.05,0.0,0.0
119,2.3,88,0.5,0.28,0.0,3.1
247,-5.2,33,-19.0,1.26,0.0,0.0
228,-8.3,35,-21.0,1.14,0.0,0.0
267,-6.5,30,-21.2,1.17,0.0,0.0
278,-4.9,34,-18.3,0.6,0.0,0.0
309,-2.5,43,-13.3,0.34,0.0,0.0
252,-4.1,28,-19.9,1.08,0.0,0.0
216,-4.9,25,-21.9,1.08,0.0,0.0
62,-1.8,83,-4.3,0.09,1.1,5.1
191,-2.5,31,-17.3,1.08,0.0,2.3
209,-3.2,49,-12.4,0.53,0.0,1.9
290,1.9,40,-10.3,1.04,0.0,1.9
301,4.5,56,-3.5,0.71,0.0,0.0
325,7.0,72,2.2,0.64,0.0,0.0
4,4.1,91,2.7,0.07,9.5,0.0
221,-1.6,33,-15.8,1.18,0.0,0.0
262,-1.3,23,-19.8,1.09,0.0,0.0
230,-5.5,21,-24.4,1.08,0.0,0.0
286,-0.8,38,-13.3,0.75,0.0,0.0
363,4.3,62,-2.3,0.52,0.0,0.0
274,3.2,64,-2.9,0.47,0.0,0.0
209,1.4,47,-8.7,1.1,0.0,1.0
225,1.5,20,-19.0,1.03,0.0,0.0
293,0.9,29,-15.1,0.88,0.0,0.0
297,-3.4,32,-17.7,1.02,0.0,0.0
290,-2.9,33,-16.9,0.92,0.0,0.0
362,-0.3,45,-10.8,1.01,0.0,0.0
283,0.0,35,-13.6,1.07,0.0,0.0
278,1.1,34,-13.0,0.6,0.0,0.0
356,2.7,33,-12.0,0.6,0.0,0.0
262,-2.7,45,-13.0,1.05,0.0,0.4
217,-5.6,44,-15.9,1.1,0.0,0.5
187,-8.6,40,-19.8,1.11,0.0,0.0
178,-9.6,27,-25.1,1.17,0.0,0.0
174,-3.7,66,-9.1,0.45,0.2,0.4
226,1.2,58,-6.1,0.74,0.0,0.0
311,6.2,64,-0.1,0.79,0.0,0.0
276,5.2,52,-3.8,0.45,0.0,0.0
310,8.1,51,-1.4,0.75,0.0,0.0
267,2.5,72,-2.0,0.0,0.0,0.0
341,4.3,28,-12.6,0.98,0.0,0.0
325,5.3,55,-3.0,0.85,0.0,0.0
271,3.9,30,-12.1,0.91,0.0,0.0
323,3.9,28,-12.9,0.6,0.0,0.0
180,-11.3,27,-26.6,1.18,0.0,1.0
121,-12.2,26,-27.8,1.17,0.0,0.9
142,-12.8,25,-28.7,1.16,0.0,0.6
111,-14.4,30,-28.2,1.17,0.0,0.5
145,-7.7,32,-21.5,1.13,0.0,0.3
189,-3.5,26,-20.2,1.07,0.0,0.0
186,-7.3,23,-24.9,1.17,0.0,0.0
253,-3.2,32,-17.5,1.01,0.0,0.0
160,-1.0,35,-14.5,0.64,0.0,3.0
240,-1.1,31,-16.1,1.2,0.0,1.3
303,0.9,37,-12.1,1.12,0.0,0.0
192,-6.0,38,-18.0,2.04,0.0,0.0
165,-8.3,32,-22.1,1.99,0.0,0.0
157,-7.8,28,-23.1,2.12,0.0,0.0
172,-8.2,31,-22.3,2.09,0.0,0.0
188,-6.0,24,-23.3,1.97,0.0,0.0
253,-1.5,35,-15.0,1.9,0.0,0.0
260,1.6,28,-14.9,0.88,0.0,0.0
248,2.9,53,-5.7,1.37,0.0,0.0
174,-3.9,28,-19.7,2.12,0.0,0.0
202,-4.6,32,-18.8,1.43,0.0,0.0
281,1.0,41,-10.8,2.11,0.0,0.0
312,6.9,67,1.1,0.42,0.0,0.0
174,1.7,20,-18.9,2.28,0.0,0.0
137,2.2,19,-19.1,2.01,0.0,0.0
183,-1.3,17,-23.2,2.28,0.0,0.0
263,2.2,17,-20.4,1.75,0.0,0.0
361,4.7,43,-6.8,1.38,0.0,0.0
356,4.0,23,-15.3,2.03,0.0,0.0
351,2.2,17,-20.4,1.99,0.0,0.0
352,4.8,47,-5.5,1.72,0.0,0.0
283,5.3,70,0.2,1.73,0.0,1.7
363,4.0,37,-9.4,1.75,0.0,0.0
396,5.5,25,-13.0,2.28,0.0,0.0
428,6.9,28,-10.3,2.35,0.0,0.0
353,5.4,37,-8.1,0.43,0.0,0.0
305,7.6,48,-2.7,0.39,0.0,0.0
311,0.5,46,-9.8,2.49,0.0,0.0
388,1.8,26,-15.7,2.61,0.0,0.0
605,10.7,16,-14.1,2.56,0.0,0.0
358,10.7,85,8.2,0.52,0.0,0.0
438,7.6,58,-0.1,1.85,0.0,0.0
504,8.5,34,-6.4,2.55,0.0,0.0
550,9.6,39,-3.7,2.09,0.0,0.0
375,5.6,72,0.9,0.89,0.0,0.0
510,6.8,51,-2.6,1.13,0.0,0.0
650,7.1,50,-2.6,2.47,0.0,0.0
666,9.2,40,-3.7,2.47,0.0,0.0
581,11.7,32,-4.4,1.99,0.0,0.0
626,15.5,47,4.2,2.44,0.0,0.0
813,19.9,44,7.2,2.22,0.0,0.0
204,13.3,97,12.8,0.19,2.0,0.0
705,9.4,40,-3.5,2.78,0.0,0.0
933,10.0,38,-3.6,2.51,0.0,0.0
751,9.8,46,-1.2,1.13,0.0,0.0
403,10.2,58,2.2,0.32,0.0,0.0
522,9.0,33,-6.4,2.59,0.0,0.0
333,4.8,51,-4.5,1.12,0.0,0.0
668,8.3,36,-5.9,2.7,0.0,0.0
690,9.3,37,-4.6,2.72,0.0,0.0
806,10.6,52,1.1,2.27,0.0,0.0
626,12.7,45,1.0,2.63,0.0,0.0
492,14.6,53,5.1,2.65,0.0,0.0
586,16.7,47,5.3,1.76,0.0,0.0
629,16.5,57,7.9,1.55,0.0,0.0
714,18.2,55,9.0,2.24,0.0,0.0
939,19.1,26,-0.8,2.73,0.0,0.0
1072,18.2,38,3.6,2.41,0.0,0.0
926,18.0,53,8.2,1.53,0.0,0.0
818,20.8,50,9.9,1.82,0.0,0.0
913,19.6,63,12.3,0.68,0.0,0.0
928,15.3,54,6.0,2.83,0.0,0.0
70,7.3,95,6.5,0.3,0.5,0.0
756,6.7,71,1.8,1.05,0.0,0.0
697,6.0,23,-13.6,2.0,0.0,0.0
709,6.9,30,-9.5,0.85,0.0,0.0
799,10.4,44,-1.3,2.93,0.0,0.0
1023,20.5,37,5.2,2.94,0.0,0.0
0,15.7,46,4.0,3.05,0.0,0.0
969,17.5,20,-5.7,3.07,0.0,0.0
1095,18.2,15,-8.9,2.27,0.0,0.0
75,8.6,94,7.6,0.49,0.0,0.0
1105,12.5,53,3.1,2.52,0.0,0.0
1052,15.5,33,-0.7,3.1,0.0,0.0
1112,18.0,26,-1.8,3.03,0.0,0.0
1047,16.5,17,-8.6,3.13,0.0,0.0
919,17.8,21,-4.8,2.79,0.0,0.0
1019,22.5,33,5.4,2.88,0.0,0.0
1130,24.3,14,-4.9,3.19,0.0,0.0
631,18.9,44,6.3,0.75,0.0,0.0
10,9.0,96,8.3,0.43,5.5,0.0
925,15.2,57,6.7,1.33,0.0,0.0
1192,19.4,20,-4.1,3.08,0.0,0.0
1197,19.6,36,4.1,2.55,0.0,0.0
1142,19.5,40,5.5,2.89,0.0,0.0
1278,20.5,31,2.7,3.18,0.0,0.0
1375,20.5,31,2.7,2.79,0.0,0.0
1094,22.2,50,11.2,2.65,0.0,0.0
1315,22.1,67,15.6,0.81,0.0,0.0
63,17.3,95,16.4,0.16,3.5,0.0
871,14.1,59,6.1,1.12,0.0,0.0
1206,17.9,32,0.9,3.28,0.0,0.0
1258,21.9,35,5.7,2.74,0.0,0.0
71,15.7,96,15.0,0.5,3.0,0.0
1414,22.9,35,6.6,3.05,0.0,0.0
1135,21.5,44,8.7,3.15,0.0,0.0
1242,18.7,39,4.4,3.21,0.0,0.0
0,19.8,49,8.7,3.17,0.0,0.0
1161,20.0,47,8.3,3.08,0.0,0.0
11,12.3,97,11.8,0.14,2.0,0.0
1434,18.3,65,11.5,2.4,0.0,0.0
1095,20.0,62,12.4,2.38,0.0,0.0
1058,26.3,36,10.0,2.88,0.0,0.0
59,22.9,87,20.6,0.22,0.0,0.0
467,21.7,96,21.0,0.81,1.5,0.0
185,16.6,96,15.9,0.34,0.0,0.0
1573,20.5,42,7.1,3.42,0.0,0.0
1313,18.8,31,1.2,0.92,0.0,0.0
1373,21.8,31,3.9,3.39,0.0,0.0
1798,22.9,51,12.2,1.8,0.0,0.0
1216,20.1,37,4.9,3.44,0.0,0.0
1087,22.1,36,6.3,3.2,0.0,0.0
1082,24.4,24,2.5,3.28,0.0,0.0
1285,26.2,31,7.7,3.18,0.0,0.0
1404,23.4,38,8.2,1.87,0.0,0.0
1139,26.3,44,13.0,3.24,0.0,0.0
1184,23.1,64,15.9,1.35,0.0,0.0
1187,23.2,64,16.0,2.08,0.0,0.0
1134,23.7,44,10.7,3.2,0.0,0.0
1076,28.2,34,10.8,3.26,0.0,0.0
1253,28.3,30,9.0,3.29,0.0,0.0
1134,28.7,27,7.8,3.29,0.0,0.0
1152,26.3,36,10.0,2.61,0.0,0.0
1111,28.2,35,11.2,3.23,0.0,0.0
1400,27.3,51,16.2,3.16,0.0,0.0
1099,25.0,56,15.6,3.19,0.0,0.0
1256,23.1,56,13.8,1.71,0.0,0.0
1462,28.2,42,14.0,2.84,0.0,0.0
1442,23.2,50,12.1,2.45,0.0,0.0
1204,23.2,52,12.7,0.82,0.0,0.0
1202,24.0,51,13.2,2.29,0.0,0.0
1747,24.5,56,15.1,1.74,0.0,0.0
945,21.2,75,16.5,1.07,0.0,0.0
1193,24.4,50,13.2,3.07,0.0,0.0
1525,24.8,43,11.3,3.27,0.0,0.0
1422,24.8,56,15.4,1.57,0.0,0.0
988,28.4,45,15.3,2.92,0.0,0.0
1224,25.8,48,13.9,2.31,0.0,0.0
1252,25.2,53,14.9,3.38,0.0,0.0
1197,26.4,46,13.8,3.26,0.0,0.0
1116,29.8,28,9.3,3.21,0.0,0.0
1374,28.4,31,9.6,2.93,0.0,0.0
1042,28.9,40,13.9,3.15,0.0,0.0
1039,29.8,42,15.5,2.9,0.0,0.0
10,20.5,97,20.0,0.15,5.0,0.0
1145,24.1,73,18.9,2.15,0.0,0.0
1158,27.0,68,20.5,1.3,0.0,0.0
1168,26.1,67,19.4,2.15,0.0,0.0
858,25.2,94,24.1,0.39,6.4,0.0
9,21.1,97,20.5,0.17,7.5,0.0
218,22.4,97,21.8,0.46,0.0,0.0
944,30.1,64,22.5,2.54,0.0,0.0
1021,30.5,58,21.2,2.26,0.0,0.0
996,27.0,68,20.5,1.2,0.0,0.0
1216,25.7,57,16.5,2.32,0.0,0.0
1328,26.4,47,14.1,3.26,0.0,0.0
1237,25.0,46,12.5,2.93,0.0,0.0
71,20.7,83,17.7,0.32,0.0,0.0
1035,24.1,80,20.4,0.72,0.0,0.0
964,28.1,73,22.7,0.87,0.0,0.0
991,27.4,80,23.6,0.97,0.0,0.0
1013,28.3,68,21.8,1.35,0.0,0.0
1039,30.2,58,21.0,2.64,0.0,0.0
803,30.1,58,20.9,2.15,0.0,0.0
719,32.4,49,20.3,3.09,0.0,0.0
803,30.8,57,21.2,2.52,0.0,0.0
780,31.2,51,19.8,2.96,0.0,0.0
828,31.7,42,17.2,3.23,0.0,0.0
822,32.6,51,21.1,3.21,0.0,0.0
735,34.2,35,16.5,3.14,0.0,0.0
560,35.5,39,19.4,3.05,0.0,0.0
655,34.1,47,21.1,2.94,0.0,0.0
671,34.5,50,22.5,1.89,0.0,0.0
791,31.1,60,22.4,1.02,0.0,0.0
600,32.0,57,22.4,1.94,0.0,0.0
714,33.7,53,22.7,2.5,0.0,0.0
632,33.6,62,25.3,1.35,0.0,0.0
644,33.8,47,20.9,1.92,0.0,0.0
663,33.6,48,21.0,1.89,0.0,0.0
626,35.2,39,19.1,2.86,0.0,0.0
569,36.8,39,20.5,2.8,0.0,0.0
562,36.6,41,21.2,2.58,0.0,0.0
585,36.8,41,21.3,2.53,0.0,0.0
640,33.2,52,22.0,1.59,0.0,0.0
565,32.5,59,23.4,2.33,0.0,0.0
613,33.2,59,24.0,2.37,0.0,0.0
770,31.9,57,22.3,1.28,0.0,0.0
629,34.1,46,20.8,2.72,0.0,0.0
484,31.1,63,23.2,1.14,0.0,0.0
721,33.4,47,20.5,2.51,0.0,0.0
759,33.2,50,21.3,2.84,0.0,0.0
670,33.8,44,19.8,2.72,0.0,0.0
724,33.4,54,22.8,2.09,0.0,0.0
699,33.9,49,21.6,1.91,0.0,0.0
563,36.5,41,21.1,2.73,0.0,0.0
668,34.5,44,20.4,3.19,0.0,0.0
904,30.3,30,10.7,3.17,0.0,0.0
952,29.8,33,11.7,3.14,0.0,0.0
926,30.9,37,14.5,2.98,0.0,0.0
808,31.7,45,18.3,1.96,0.0,0.0
848,25.7,74,20.7,1.16,0.0,0.0
784,33.9,45,20.2,2.95,0.0,0.0
769,31.9,49,19.8,1.85,0.0,0.0
355,25.8,81,22.2,0.8,0.0,0.0
1070,27.9,55,18.0,1.49,0.0,0.0
1070,28.9,42,14.6,2.5,0.0,0.0
137,22.6,90,20.8,1.02,1.0,0.0
25,25.2,89,23.2,0.32,2.0,0.0
648,27.4,72,21.8,0.54,0.0,0.0
768,27.0,74,21.9,0.94,0.0,0.0
982,27.8,47,15.4,2.99,0.0,0.0
1086,28.9,46,16.1,2.96,0.0,0.0
1075,27.5,43,13.7,2.75,0.0,0.0
673,23.9,83,20.8,0.27,0.0,0.0
995,25.8,57,16.6,3.02,0.0,0.0
1072,27.1,44,13.7,2.8,0.0,0.0
1041,26.9,60,18.4,1.67,0.0,0.0
1213,24.2,50,13.1,2.85,0.0,0.0
1273,25.2,36,9.0,2.93,0.0,0.0
1220,25.9,39,10.8,2.89,0.0,0.0
1095,26.7,40,11.9,2.92,0.0,0.0
1192,24.5,40,10.0,2.64,0.0,0.0
1165,26.3,44,13.0,2.91,0.0,0.0
1119,24.3,59,15.7,1.12,0.0,0.0
1088,25.3,56,15.8,1.35,0.0,0.0
1284,25.4,63,17.8,1.01,0.0,0.0
989,23.7,64,16.4,0.79,0.0,0.0
1083,25.2,50,14.0,2.83,0.0,0.0
0,24.7,43,11.2,1.75,0.0,0.0
0,24.9,51,14.0,1.56,0.0,0.0
180,19.0,91,17.4,0.67,0.5,0.0
143,19.1,91,17.5,0.63,0.0,0.0
1273,24.2,43,10.8,2.31,0.0,0.0
915,20.8,52,10.5,1.25,0.0,0.0
754,20.3,34,3.9,2.85,0.0,0.0
1045,21.7,36,5.9,2.78,0.0,0.0
1358,22.5,37,7.0,2.5,0.0,0.0
1189,23.2,42,9.5,2.73,0.0,0.0
0,19.0,52,8.9,0.98,0.0,0.0
1495,23.8,44,10.8,2.66,0.0,0.0
0,20.8,47,9.0,2.0,0.0,0.0
1138,18.4,40,4.5,2.28,0.0,0.0
0,19.4,41,5.7,2.67,0.0,0.0
1634,21.4,40,7.2,2.53,0.0,0.0
0,23.2,38,8.0,2.44,0.0,0.0
23,16.6,90,14.9,0.51,2.0,0.0
130,18.0,92,16.6,0.45,1.0,0.0
1516,19.8,46,7.8,2.3,0.0,0.0
1238,19.2,31,1.6,2.4,0.0,0.0
0,18.3,40,4.4,1.82,0.0,0.0
1006,13.7,43,1.3,1.65,0.0,0.0
967,13.2,31,-3.5,2.58,0.0,0.0
1073,14.7,38,0.5,2.55,0.0,0.0
1402,16.6,36,1.4,2.45,0.0,0.0
1394,17.2,33,0.7,2.28,0.0,0.0
1052,19.0,60,11.0,2.11,0.0,0.0
1063,18.8,35,2.9,2.06,0.0,0.0
1088,16.2,29,-1.8,2.45,0.0,0.0
1132,16.8,50,6.3,1.94,0.0,0.0
1161,17.4,33,0.9,2.39,0.0,0.0
1407,17.7,33,1.2,2.37,0.0,0.0
1417,18.4,28,-0.4,2.33,0.0,0.0
1034,18.2,34,2.0,2.03,0.0,0.0
363,11.5,90,9.9,0.06,5.0,0.0
1126,16.8,48,5.7,2.1,0.0,0.0
1188,18.2,37,3.2,2.25,0.0,0.0
29,12.4,90,10.7,0.19,1.0,0.0
1076,10.4,41,-2.3,1.33,0.0,0.0
630,11.9,74,7.4,1.84,0.0,0.0
737,10.8,49,0.4,1.45,0.0,0.0
881,8.5,34,-6.4,2.21,0.0,0.0
907,10.0,39,-3.3,2.2,0.0,0.0
926,12.6,36,-2.1,2.14,0.0,0.0
1023,14.9,40,1.4,2.06,0.0,0.0
0,16.5,37,1.7,2.14,0.0,0.0
1145,16.3,33,0.0,2.13,0.0,0.0
971,16.4,48,5.3,1.68,0.0,0.0
0,14.5,57,6.0,1.08,0.0,0.0
697,13.2,77,9.2,0.5,0.0,0.0
17,11.4,95,10.6,0.44,5.5,0.0
0,13.9,50,3.6,2.14,0.0,0.0
1034,15.1,54,5.8,1.91,0.0,0.0
769,10.6,72,5.7,0.29,0.0,0.0
888,12.3,37,-1.9,1.93,0.0,0.0
890,12.8,45,1.1,1.82,0.0,0.0
963,14.2,45,2.4,1.86,0.0,0.0
942,13.8,43,1.4,1.61,0.0,0.0
886,13.4,48,2.5,1.64,0.0,0.0
994,9.1,34,-5.9,1.95,0.0,0.0
776,9.2,47,-1.5,1.37,0.0,0.0
785,10.3,38,-3.4,1.08,0.0,0.0
788,10.1,23,-10.1,1.82,0.0,0.0
697,7.7,34,-7.2,0.49,0.0,0.0
717,5.9,23,-13.7,1.88,0.0,0.0
664,5.5,20,-15.7,1.85,0.0,0.0
167,2.5,84,0.0,0.4,1.8,7.0
700,6.9,59,-0.5,1.31,0.0,2.2
752,9.1,57,1.0,1.69,0.0,0.0
672,9.3,61,2.1,0.85,0.0,0.0
635,7.9,14,-18.0,1.81,0.0,0.0
661,5.6,27,-11.9,0.34,0.0,0.0
720,6.6,35,-7.8,1.7,0.0,0.0
